"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 21:25:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:26:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:27:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:28:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:29:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:30:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:31:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:32:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:33:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:34:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:35:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:36:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:37:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:38:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:39:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:40:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:41:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:42:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:43:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:44:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:45:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:46:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:47:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:48:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:49:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:50:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:51:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:52:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:53:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:54:13,67,86,0,0,1,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:55:13,66,84,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:56:13,89,88,0,0,1,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:57:13,88,86,0,0,0,0,0,0,0,0,0,0,0,5,0,0,254,
2025-2-14 21:58:13,106,90,0,0,1,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:59:13,104,88,0,0,0,0,0,0,0,0,0,0,0,5,0,0,254,
2025-2-14 22:0:13,122,91,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:1:13,120,89,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:2:13,136,92,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:3:13,134,89,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:4:13,148,93,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:5:13,146,91,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:6:13,158,94,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:7:13,156,91,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:8:13,168,94,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:9:13,166,93,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:10:13,176,95,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:11:13,174,94,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:12:13,183,96,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:13:13,181,93,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:14:13,189,96,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:15:13,187,94,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:16:13,195,97,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:17:13,193,95,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:18:13,198,96,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:19:13,196,94,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:20:13,200,97,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:21:13,199,96,0,0,0,0,0,0,0,0,0,0,0,60,0,0,254,
2025-2-14 22:22:13,200,98,1,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:23:13,200,98,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:24:13,200,98,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:25:13,198,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:26:13,196,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:27:13,194,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:28:13,192,97,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:29:13,190,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
